Product Name,SKU,Product Type,Base Price (Sub Price),Sale Price (With Tax),BTB Price (With Tax),BTC Price (With Tax),3 Weeks Delivery (With Tax),5 Weeks Delivery (With Tax),Stock,Status,price,salePrice,price3weeksDelivery,price5weeksDelivery,btbPrice,btcPrice
Nespresso Professional Ristretto,NESCOFNES006CH,COFFEE,100,108,140,202,151,161,0,Available,0,0,0,0,0,0
Nespresso Professional Ristretto Intenso,NESCOFNES928SH,,100,108,140,202,151,161,0,Available,0,0,0,0,0,0
Nespresso Professional Finezzo,NESCOFNES063IE,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Professional Forte,NESCOFNES019GI,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
200g Nigerian Coffee Light Roast Ground,GNICOFHAP745CL,,0,0,0,0,0,0,100,Available,0,0,0,0,0,0
1kg Nigerian Coffee Dark Roast,KGNCOFHAP142BE,COFFEE_BEANS,0,0,0,0,0,0,100,Available,0,0,0,0,0,0
1kg Nigerian Coffee Medium Roast ,KGNCOFHAP612CF,COFFEE,0,0,0,0,0,0,100,Available,0,0,0,0,0,0
200g Nigerian Coffee Light Roast ,GNICOFHAP486JV,,0,0,0,0,0,0,100,Available,0,0,0,0,0,0
Nespresso Vertuo Double Espresso Chiaro Decaf,NESCOFNES162OC,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Sweet Almond & Hibiscus,NESCOFNES407EF,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Cinnamon and Candied Tamarind,NESCOFNES437LY,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Starbucks® Caffè Verona®,NESCOFNES709NM,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Starbucks® Pike Place® Roast,NESCOFNES676NV,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Oatly Barista Edition,NESCOFNES433GD,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Starbucks Veranda Blend,NESCOFNES914SU,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Starbucks Blonde Espresso Roast,NESCOFNES400SX,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Maple Pecan,NESCOFNES837LF,,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Active,NESCOFNES551QK,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Nespresso for Change Please,NESCOFNES250GO,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
Nespresso Vertuo Bianco Leggero,NESCOFNES239CR,COFFEE,0,0,0,0,0,0,0,Available,0,0,0,0,0,0
